234;ADAPEI LES PAPILLONS BLANCS;Chemin de Nozéa;44390;Satisfaisant;47.444364,-1.501937;4255;99
235;ADAPEI LES PAPILLONS BLANCS;4 RUE REAUMUR;28000;Satisfaisant;48.440877,1.540925;1261;99
236;ADAPEI PAPILLONS BLANCS D'ALSACE;8 RUE TEXUNION;68120;Satisfaisant;47.759368,7.300636;4530;99
237;ADAPEI PAPILLONS BLANCS D'ALSACE;6 CHE DE BERGHEIM;67600;Satisfaisant;48.252987,7.437569;6007;99
238;ADAPEI RIVALIERES;ADAPEI RIVALIERES;63500;Très satisfaisant;45.547372,3.248058;2565;99
239;ADAPEI VAR MEDITERRANEE;135 RUE GEORGES LEYGUES;83100;Très satisfaisant;43.122803,5.966774;6281;99
240;ADBH;32 AV CARNOT;94190;A améliorer;48.732953,2.449939;6688;12
241;ADDOMME;26 RUE NOTRE DAME DE NAZARETH;75003;Satisfaisant;48.867286,2.35986;4426;98
242;ADEF RESIDENCES;52 RUE DE KERJULAUDE;56100;Très satisfaisant;47.74314,-3.382644;3453;99
243;ADELIS;9, Boulevard Vincent Gache;44200;Satisfaisant;47.206044,-1.542666;4169;99
244;ADEMI;3 RUE BACHAUMONT;75002;Très satisfaisant;48.865851,2.346532;4425;98
245;ADGESSA;MAISON DE RETRAITE LE BERCEAU;40990;Satisfaisant;43.748718,-1.009833;5841;99
246;ADLP;35 AV FELIX FAURE;6500;Très satisfaisant;43.774737,7.502175;3779;1
247;ADMD;162 RUE DE LA GARE;69400;Très satisfaisant;45.9849,4.720006;6666;98
248;ADMINISTRATION GENERALE;7, RUE MONGENOT;94160;Satisfaisant;48.843358,2.416547;5590;99
249;ADMR LES VALS DU CHAGNON;2 rives du Lignon;42890;Très satisfaisant;45.735705,3.972738;5065;99
250;ADMR MAPA EHPAD LES BLEUETS;rue soeur Florine;42680;Satisfaisant;45.500265,4.171655;5598;99
251;ADOMA;84 BD NEY;75018;Satisfaisant;48.898478,2.350903;4412;99
252;ADOMA;84 BD NEY;75018;Satisfaisant;48.898478,2.350903;4421;99
253;ADOMA;84 BD NEY;75018;Satisfaisant;48.898478,2.350903;4421;99
254;ADOMA - RESIDENCE GERGOVIE;12 PASSAGE DE GERGOVIE;75014;Satisfaisant;48.833925,2.31248;4417;99
255;ADOR;1 Rue de la Terrasse;38500;Satisfaisant;45.366695,5.596748;6794;99
